"label_name","x","y","x1_lseg","y1_lseg","x2_lseg","y2_lseg","color"
"Milan",490000,4870000,490000,4882000,510000,5023000,"#000000"
"Bergamo",430000,5180000,450000,5168000,550000,5070000,"#000000"
"Brescia",570000,5200000,590000,5188000,602000,5110000,"#000000"
